income,deductions,filing_history,previous_audit,tax_paid,fraud
1273066,252991,2,0,194077,0
1140269,253964,0,0,49829,0
529555,462567,2,1,127717,1
912650,476302,3,0,292618,0
1461270,103307,5,1,133852,1
1368930,438023,2,0,196160,0
1463678,397808,4,1,64941,1
1316870,211210,2,0,261477,0
1512617,186462,1,0,48471,0
426086,280161,1,0,69994,1
1068163,147246,3,0,146352,0
967680,91381,1,0,207850,0
894030,317133,2,1,144234,1
985158,387474,1,0,166559,0
1995425,290107,1,1,100720,1
863358,56889,3,0,94253,0
1145866,428666,1,1,276369,1
532619,378926,5,1,164727,1
699075,485656,1,0,256426,1
295528,434875,5,1,22884,1
1500598,255484,5,0,149683,0
828853,411694,2,0,210335,0
495775,427899,1,1,158711,1
398385,492996,1,0,43816,1
1382516,325614,3,1,276382,1
892011,288262,1,0,217369,0
1795275,412715,4,1,233533,1
1488411,400353,5,1,182353,1
1888865,435612,4,0,202937,0
700699,230364,0,1,237361,1
1822182,37881,1,1,229102,1
652067,377456,3,0,251349,0
1144997,215463,0,1,98256,1
1449060,136781,3,0,62297,0
963291,102781,0,1,49619,1
1122391,308838,0,0,74604,0
1835579,499356,1,1,286341,1
1314893,372608,3,1,55895,1
437022,363116,5,1,127948,1
1229451,158829,1,0,28942,0
1015637,276894,1,1,174874,1
446865,128781,3,0,131829,0
297163,355227,2,1,44218,1
765597,335390,5,1,256260,1
845682,16066,0,1,140715,1
1232875,201878,3,1,261572,1
427198,394688,3,0,289342,1
935478,342753,2,1,156247,1
303413,34685,4,0,183805,0
1563585,109973,4,1,197849,1
1426163,35775,2,1,106162,1
1259406,320075,4,0,27400,0
1173314,341284,4,0,192810,0
300551,359053,3,0,153622,1
592618,205669,2,0,52029,0
1259837,422695,4,1,183082,1
1785989,181238,5,0,189810,0
910655,200895,2,0,125062,0
1077269,384459,5,1,299256,1
1167409,337605,4,1,26074,1
671688,361587,5,1,152170,1
866106,180538,4,1,97033,1
561235,152936,2,0,224438,0
874668,190033,1,0,30541,0
1765343,115438,0,0,130532,0
533492,157905,4,0,105099,0
815884,286495,4,0,150172,0
1491483,136414,1,0,57549,0
524370,45913,2,0,190681,0
1149172,293448,4,0,25387,0
274454,385692,4,1,193877,1
1157040,352311,0,1,283586,1
1435218,35881,5,1,21638,1
384165,487946,5,1,262906,1
1001372,316903,2,0,137964,0
1095570,69628,2,0,150664,0
1227990,417313,2,1,132929,1
729462,44038,1,0,149687,0
620906,62308,3,0,132695,0
537377,28513,1,0,280747,0
916602,77390,3,1,279994,1
1771493,217655,5,1,136511,1
1782073,307526,3,1,207266,1
1534173,375326,1,0,296623,0
1235960,217814,3,1,107951,1
232044,219437,5,0,166787,1
1174707,441702,3,0,215160,0
1516027,219912,5,1,41802,1
1253303,367785,2,0,193280,0
1143671,86975,0,0,259788,0
500085,288861,1,1,126375,1
660574,244395,2,1,270484,1
419711,285920,5,1,149899,1
232006,146119,1,0,52819,1
645135,165251,5,1,234330,1
1991062,212960,3,0,94569,0
482842,482261,2,0,122840,1
946475,497750,1,0,72114,0
1741036,11295,1,0,99813,0
739408,207481,0,1,20870,1
810847,238182,3,1,116678,1
1038000,483931,5,0,54447,0
1015827,77023,3,0,72981,0
417294,201366,3,0,283147,0
1609111,136944,4,1,146211,1
1686478,321551,5,0,84218,0
1952621,110759,3,0,109021,0
1808525,180851,3,0,38189,0
1154333,123906,3,1,161391,1
1743690,313824,3,0,125872,0
406664,180195,3,0,227368,0
644278,297828,2,0,286692,0
1897773,151079,4,0,246721,0
1235835,471710,3,1,194840,1
771308,66928,3,1,221369,1
1081788,151347,5,0,220107,0
1067155,90744,3,0,33947,0
276013,485774,0,0,21530,1
1757978,48688,5,1,132448,1
1371009,464151,2,1,214573,1
1129512,424178,3,1,179225,1
441158,164099,1,1,49824,1
1878052,222609,4,1,132246,1
1150321,193702,2,1,174483,1
1213493,367528,2,1,98596,1
884703,400481,5,1,36703,1
1122187,44273,5,0,201684,0
755244,280036,0,0,189512,0
245132,160752,3,1,247436,1
1647725,454629,3,0,147247,0
900950,374833,5,1,163964,1
1194715,471648,3,0,72410,0
1445886,483508,1,1,104673,1
333262,484363,4,1,45439,1
303402,16696,0,0,101557,0
340776,261757,2,0,287624,1
1539401,272804,5,1,85516,1
1436550,270744,4,0,289167,0
435606,436451,2,1,182128,1
1308641,484933,1,0,41161,0
1544759,475631,0,0,34945,0
233686,378589,0,1,136286,1
326919,237679,1,1,127840,1
1691871,439180,2,0,198720,0
1189091,229927,1,1,268051,1
1303359,179761,2,1,125308,1
1607704,282405,5,0,137959,0
471801,153088,4,1,243646,1
993783,475943,1,1,32551,1
1125226,199559,5,1,254520,1
305217,436735,3,1,279705,1
1942718,148458,2,0,110568,0
461035,420252,2,1,169160,1
838366,347425,4,1,247602,1
651138,494560,2,1,148156,1
1892117,436168,1,1,55990,1
1011764,472406,4,1,148613,1
648190,229566,4,0,175312,0
1048048,61927,5,0,138476,0
829013,252329,4,0,80554,0
1502195,290170,4,1,187657,1
670395,449682,1,1,34398,1
992100,498908,1,1,201118,1
1084459,242576,4,1,296984,1
1325659,277732,3,0,69309,0
1825667,305985,2,1,127756,1
1469351,366509,1,1,286425,1
665969,347584,2,1,259986,1
963035,175822,0,1,172322,1
1875863,484075,5,1,198932,1
1223593,236635,3,0,89179,0
1599633,486614,4,1,120021,1
1503316,230230,0,0,87216,0
1189153,305062,0,0,273374,0
514292,457990,1,1,141679,1
1587237,211644,0,0,111591,0
1794987,35792,1,1,253046,1
1696400,441798,3,0,128174,0
610401,65639,1,1,164210,1
882377,27838,5,0,72526,0
1516172,215528,2,0,157833,0
754143,41321,1,1,188178,1
826069,94228,5,1,222257,1
777481,394430,4,1,133368,1
750327,68151,4,0,249175,0
1277373,157730,0,1,238903,1
688912,430027,3,1,275676,1
1203071,461348,5,0,102040,0
844977,177763,5,1,257642,1
1862157,102937,1,1,238145,1
1787875,20243,5,0,110286,0
1829413,39807,5,1,210323,1
1045129,54302,2,0,164066,0
1718509,66038,1,1,50999,1
1903439,428734,1,0,288434,0
1699451,228708,3,1,242651,1
1781245,389739,4,1,296833,1
1848713,493362,3,1,120112,1
1977745,474906,4,1,159946,1
609297,26865,2,1,31230,1
1300976,457734,0,0,194228,0
443077,224452,4,0,134799,0
1484056,275636,4,0,68684,0
1624958,129533,5,0,147956,0
787447,361418,3,1,188094,1
535775,43117,0,1,232298,1
528708,340880,4,1,199570,1
894706,138342,1,0,24284,0
695280,57284,4,0,125914,0
379617,42088,2,0,64627,0
451759,252678,2,1,190753,1
1085190,150890,1,1,69101,1
1680718,412682,1,1,81804,1
872683,315141,4,1,52196,1
909104,467083,4,1,48658,1
1088754,448934,0,0,106646,0
815765,320529,3,0,242117,0
1631856,14595,4,1,134734,1
1378713,170740,4,1,282405,1
1045682,74767,3,0,266511,0
1008548,183482,5,0,143220,0
332312,54492,4,1,227594,1
1727538,140794,4,0,112164,0
1420136,229746,1,0,186395,0
893673,342910,3,0,145230,0
738245,371122,2,1,125051,1
475174,275875,0,1,203894,1
378774,381929,1,0,63965,1
234507,477657,5,1,212656,1
1519614,326500,1,1,192130,1
926298,180303,0,1,83281,1
1263428,146832,3,0,106231,0
1427154,422297,3,1,109567,1
1880206,204192,2,1,75258,1
